admin_js.admin.api.all_users,全てのユーザ
admin_js.admin.badges.save,***TO BE TRANSLATED***Save
admin_js.admin.badges.title,***TO BE TRANSLATED***Badges
admin_js.admin.commits.by,by
admin_js.admin.commits.latest_changes,最新の更新内容:
admin_js.admin.customize.about,サイトカスタマイズ設定により、サイトのヘッダとスタイルシートを変更できます。設定を選択するか、編集を開始して新たな設定を追加してください。
admin_js.admin.customize.css,スタイルシート
admin_js.admin.customize.delete,削除
admin_js.admin.customize.delete_confirm,このカスタマイズ設定を削除しますか?
admin_js.admin.customize.enabled,有効にする
admin_js.admin.customize.header,ヘッダ
admin_js.admin.customize.long_title,サイトのカスタマイズ
admin_js.admin.customize.mobile_css,モバイル向けスタイルシート
admin_js.admin.customize.mobile_header,モバイル向けヘッダ
admin_js.admin.customize.new,新規
admin_js.admin.customize.new_style,新規スタイル
admin_js.admin.customize.override_default,標準のスタイルシートを読み込まない
admin_js.admin.customize.preview,プレビュー
admin_js.admin.customize.save,保存
admin_js.admin.customize.title,カスタマイズ
admin_js.admin.customize.undo_preview,プレビューをundo
admin_js.admin.dashboard.admins,管理者:
admin_js.admin.dashboard.blocked,ブロック中:
admin_js.admin.dashboard.critical_available,重要度の高いアップデートが存在します。
admin_js.admin.dashboard.installed_version,Installed
admin_js.admin.dashboard.last_checked,最終チェック
admin_js.admin.dashboard.last_updated,ダッシュボード最終更新:
admin_js.admin.dashboard.latest_version,Latest
admin_js.admin.dashboard.moderators,モデレータ:
admin_js.admin.dashboard.no_check_performed,アップデートの確認が正しく動作していません。sidekiq が起動していることを確認してください。
admin_js.admin.dashboard.no_problems,問題は見つかりませんでした。
admin_js.admin.dashboard.please_upgrade,今すぐアップデートしてください!
admin_js.admin.dashboard.private_messages_short,PMs
admin_js.admin.dashboard.private_messages_title,プライベートメッセージ
admin_js.admin.dashboard.problems_found,Discourse のインストールにいくつか問題が発見されました:
admin_js.admin.dashboard.refresh_problems,更新
admin_js.admin.dashboard.reports.30_days_ago,30日前
admin_js.admin.dashboard.reports.7_days_ago,7日前
admin_js.admin.dashboard.reports.all,全て
admin_js.admin.dashboard.reports.all_time,All Time
admin_js.admin.dashboard.reports.last_30_days,過去30日
admin_js.admin.dashboard.reports.last_7_days,過去7日
admin_js.admin.dashboard.reports.today,今日
admin_js.admin.dashboard.reports.view_chart,棒グラフ表示
admin_js.admin.dashboard.reports.view_table,テーブル表示
admin_js.admin.dashboard.reports.yesterday,昨日
admin_js.admin.dashboard.stale_data,最近アップデートの確認が正しく動作していません。sidekiq が起動していることを確認してください。
admin_js.admin.dashboard.suspended,停止中:
admin_js.admin.dashboard.title,ダッシュボード
admin_js.admin.dashboard.up_to_date,最新のバージョンです!
admin_js.admin.dashboard.updates_available,アップデートが存在します。
admin_js.admin.dashboard.version,Version
admin_js.admin.dashboard.version_check_pending,アップデートした直後のようですね。素晴らしい!
admin_js.admin.email.all,全て
admin_js.admin.email.delivery_method,送信方法
admin_js.admin.email.email_type,メールタイプ
admin_js.admin.email.format,フォーマット
admin_js.admin.email.html,html
admin_js.admin.email.last_seen_user,ユーザが最後にサイトを訪れた日:
admin_js.admin.email.logs.filters.address_placeholder,***TO BE TRANSLATED***em@il.com
admin_js.admin.email.logs.filters.reply_key_placeholder,***TO BE TRANSLATED***
admin_js.admin.email.logs.filters.skipped_reason_placeholder,***TO BE TRANSLATED***reason
admin_js.admin.email.logs.filters.title,***TO BE TRANSLATED***Filter
admin_js.admin.email.logs.filters.type_placeholder,"***TO BE TRANSLATED***digest, signup..."
admin_js.admin.email.logs.filters.user_placeholder,***TO BE TRANSLATED***username
admin_js.admin.email.logs.none,***TO BE TRANSLATED***No logs found.
admin_js.admin.email.preview_digest,ダイジェストのプレビュー
admin_js.admin.email.preview_digest_desc,フォーラムより送信されるダイジェストメールのプレビューです。
admin_js.admin.email.refresh,更新
admin_js.admin.email.reply_key,回答キー
admin_js.admin.email.send_test,テストメール送信
admin_js.admin.email.sending_test,***TO BE TRANSLATED***Sending test Email...
admin_js.admin.email.sent,送信済み
admin_js.admin.email.sent_at,送信時間
admin_js.admin.email.sent_test,送信完了!
admin_js.admin.email.settings,設定
admin_js.admin.email.skipped,スキップ済み
admin_js.admin.email.skipped_reason,スキップの理由
admin_js.admin.email.test_email_address,テスト用メールアドレス
admin_js.admin.email.test_error,***TO BE TRANSLATED***There was an issue sending email. Please check your settings and try again.
admin_js.admin.email.text,text
admin_js.admin.email.time,***TO BE TRANSLATED***Time
admin_js.admin.email.title,メール
admin_js.admin.email.to_address,送信先アドレス
admin_js.admin.email.user,ユーザ
admin_js.admin.flags.active,アクティブなフラグ
admin_js.admin.flags.agree_hide,賛成 (ポストを非表示 + PM を送信)
admin_js.admin.flags.agree_hide_title,このポストを非表示にし、編集を促すプライベートメッセージを自動的に送信
admin_js.admin.flags.clear_topic_flags,***TO BE TRANSLATED***Done
admin_js.admin.flags.clear_topic_flags_title,***TO BE TRANSLATED***The topic has been investigated and issues have been resolved. Click Done to remove the flags.
admin_js.admin.flags.defer,保留
admin_js.admin.flags.defer_title,現時点ではアクション不要。保留状態にしておき後ほど再判断
admin_js.admin.flags.delete_post,ポストを削除
admin_js.admin.flags.delete_post_title,ポストを削除。最初のポストの場合はトピックも合わせて削除
admin_js.admin.flags.delete_spammer_title,ユーザを削除し、全てのポストとトピックを削除。
admin_js.admin.flags.disagree,反対
admin_js.admin.flags.disagree_title,フラグに反対。このポストのフラグをクリア
admin_js.admin.flags.disagree_unhide,反対 (ポストを再表示)
admin_js.admin.flags.disagree_unhide_title,このポストのフラグをクリアし、再度表示
admin_js.admin.flags.error,何かがうまくいきませんでした
admin_js.admin.flags.flagged_by,フラグをたてた人
admin_js.admin.flags.no_results,フラグはありません。
admin_js.admin.flags.old,古いフラグ
admin_js.admin.flags.summary.action_type_3.one,オフトピック
admin_js.admin.flags.summary.action_type_3.other,オフトピック x{{count}}
admin_js.admin.flags.summary.action_type_4.one,不適切
admin_js.admin.flags.summary.action_type_4.other,不適切 x{{count}}
admin_js.admin.flags.summary.action_type_6.one,カスタム
admin_js.admin.flags.summary.action_type_6.other,カスタム x{{count}}
admin_js.admin.flags.summary.action_type_7.one,カスタム
admin_js.admin.flags.summary.action_type_7.other,カスタム x{{count}}
admin_js.admin.flags.summary.action_type_8.one,スパム
admin_js.admin.flags.summary.action_type_8.other,スパム x{{count}}
admin_js.admin.flags.system,システム
admin_js.admin.flags.title,フラグ
admin_js.admin.flags.topic_flagged,***TO BE TRANSLATED***This <strong>topic</strong> has been flagged.
admin_js.admin.flags.view_message,回答
admin_js.admin.flags.visit_topic,***TO BE TRANSLATED***Visit the topic to investigate and take action.
admin_js.admin.groups.about,グループメンバーとグループ名を編集
admin_js.admin.groups.delete,削除
admin_js.admin.groups.delete_confirm,このグループを削除しますか?
admin_js.admin.groups.delete_failed,グループの削除に失敗しました。自動作成グループを削除することはできません。
admin_js.admin.groups.edit,グループの編集
admin_js.admin.groups.group_members,***TO BE TRANSLATED***Group members
admin_js.admin.groups.name_placeholder,グループ名を入力 (ユーザ名同様にスペースなし)
admin_js.admin.groups.new,新規
admin_js.admin.groups.no_primary,***TO BE TRANSLATED***(no primary group)
admin_js.admin.groups.primary,***TO BE TRANSLATED***Primary Group
admin_js.admin.groups.refresh,再読み込み
admin_js.admin.groups.selector_placeholder,ユーザの追加
admin_js.admin.groups.title,グループ
admin_js.admin.impersonate.help,デバッグ用途でユーザアカウントになりすますためのツールです。
admin_js.admin.impersonate.invalid,申し訳ありませんがこのユーザにはなりすませません。
admin_js.admin.impersonate.not_found,ユーザが見つかりませんでした。
admin_js.admin.impersonate.title,ユーザになりすます
admin_js.admin.impersonate.username_or_email,ユーザ名かメールアドレス
admin_js.admin.logs.action,アクション
admin_js.admin.logs.created_at,作成
admin_js.admin.logs.delete,削除
admin_js.admin.logs.edit,編集
admin_js.admin.logs.ip_address,IP
admin_js.admin.logs.last_match_at,最終マッチ
admin_js.admin.logs.match_count,マッチ
admin_js.admin.logs.save,保存
admin_js.admin.logs.screened_actions.block,ブロック
admin_js.admin.logs.screened_actions.do_nothing,何もしない
admin_js.admin.logs.screened_emails.description,新規アカウント作成時、次のメールアドレスからの登録をブロックする。
admin_js.admin.logs.screened_emails.email,メールアドレス
admin_js.admin.logs.screened_emails.title,ブロック対象アドレス
admin_js.admin.logs.screened_ips.actions.block,ブロック
admin_js.admin.logs.screened_ips.actions.do_nothing,許可
admin_js.admin.logs.screened_ips.delete_confirm,%{ip_address} のルールを本当に削除しますか?
admin_js.admin.logs.screened_ips.description,"監視中のIPアドレス。IPアドレスをホワイトリストに追加するには ""許可"" を利用してください。"
admin_js.admin.logs.screened_ips.form.add,追加
admin_js.admin.logs.screened_ips.form.ip_address,IPアドレス
admin_js.admin.logs.screened_ips.form.label,新規:
admin_js.admin.logs.screened_ips.title,スクリーン対象IP
admin_js.admin.logs.screened_urls.description,スパマーからのポストにおいて引用されていた URL のリスト。
admin_js.admin.logs.screened_urls.domain,ドメイン
admin_js.admin.logs.screened_urls.title,ブロック対象URL
admin_js.admin.logs.screened_urls.url,URL
admin_js.admin.logs.staff_actions.actions.change_site_customization,サイトのカスタマイズ設定を変更
admin_js.admin.logs.staff_actions.actions.change_site_setting,サイトの設定を変更
admin_js.admin.logs.staff_actions.actions.change_trust_level,トラストレベルを変更
admin_js.admin.logs.staff_actions.actions.delete_site_customization,サイトのカスタマイズ設定を削除
admin_js.admin.logs.staff_actions.actions.delete_user,ユーザを削除
admin_js.admin.logs.staff_actions.actions.grant_badge,***TO BE TRANSLATED***grant badge
admin_js.admin.logs.staff_actions.actions.revoke_badge,***TO BE TRANSLATED***revoke badge
admin_js.admin.logs.staff_actions.actions.suspend_user,ユーザをサスペンドにする
admin_js.admin.logs.staff_actions.actions.unsuspend_user,ユーザのサスペンドを解除する
admin_js.admin.logs.staff_actions.clear_filters,全てを表示する
admin_js.admin.logs.staff_actions.context,コンテンツ
admin_js.admin.logs.staff_actions.deleted,変更後の値がありません。レコードが削除されました。
admin_js.admin.logs.staff_actions.details,詳細
admin_js.admin.logs.staff_actions.diff,差分を見る
admin_js.admin.logs.staff_actions.instructions,ユーザ名やアクションをクリックするとリストをフィルタできます。アバターをクリックするとユーザページに遷移します。
admin_js.admin.logs.staff_actions.modal_title,詳細
admin_js.admin.logs.staff_actions.new_value,変更後
admin_js.admin.logs.staff_actions.no_previous,変更前の値がありません。
admin_js.admin.logs.staff_actions.previous_value,変更前
admin_js.admin.logs.staff_actions.show,詳しく見る
admin_js.admin.logs.staff_actions.staff_user,スタッフユーザ
admin_js.admin.logs.staff_actions.subject,対象
admin_js.admin.logs.staff_actions.target_user,対象ユーザ
admin_js.admin.logs.staff_actions.title,スタッフ操作
admin_js.admin.logs.staff_actions.when,いつ
admin_js.admin.logs.title,ログ
admin_js.admin.moderator,モデレータ
admin_js.admin.site_content.edit,サイトのコンテンツを編集
admin_js.admin.site_content.none,編集するコンテンツのタイプを選択してください。
admin_js.admin.site_content.title,コンテンツ
admin_js.admin.site_settings.categories.all_results,全て
admin_js.admin.site_settings.categories.backups,***TO BE TRANSLATED***Backups
admin_js.admin.site_settings.categories.basic,基本設定
admin_js.admin.site_settings.categories.developer,開発者向け
admin_js.admin.site_settings.categories.email,メール
admin_js.admin.site_settings.categories.embedding,埋め込み
admin_js.admin.site_settings.categories.files,ファイル
admin_js.admin.site_settings.categories.legal,法律に基づく情報
admin_js.admin.site_settings.categories.posting,ポスト
admin_js.admin.site_settings.categories.rate_limits,投稿制限
admin_js.admin.site_settings.categories.required,必須設定
admin_js.admin.site_settings.categories.security,セキュリティ
admin_js.admin.site_settings.categories.seo,SEO
admin_js.admin.site_settings.categories.spam,スパム
admin_js.admin.site_settings.categories.trust,トラストレベル
admin_js.admin.site_settings.categories.uncategorized,その他
admin_js.admin.site_settings.categories.users,ユーザ
admin_js.admin.site_settings.clear_filter,クリア
admin_js.admin.site_settings.no_results,何も見つかりませんでした。.
admin_js.admin.site_settings.none,なし
admin_js.admin.site_settings.reset,デフォルトに戻す
admin_js.admin.site_settings.show_overriden,上書き部分のみ表示
admin_js.admin.site_settings.title,設定
admin_js.admin.title,Discourse 管理者
admin_js.admin.user.activate,アカウントのアクティベート
admin_js.admin.user.activate_failed,ユーザのアクティベートに失敗しました。
admin_js.admin.user.activation_email_sent,アクティベーションメールが送信されました。
admin_js.admin.user.activity,アクティビティ
admin_js.admin.user.admin,管理者?
admin_js.admin.user.approve,承認
admin_js.admin.user.approve_bulk_success,成功! 選択したユーザ全員が承認され、メールが送信されました。
admin_js.admin.user.approve_success,ユーザが承認され、アクティベーション方法を記載したメールが送信されました。
admin_js.admin.user.approved_by,承認したユーザ
admin_js.admin.user.block,ブロック
admin_js.admin.user.block_explanation,ブロック中のユーザはポストの投稿およびトピックの作成ができません。
admin_js.admin.user.block_failed,ユーザのブロックに失敗しました。
admin_js.admin.user.blocked,ブロック中?
admin_js.admin.user.cant_delete_all_posts.one,***TO BE TRANSLATED***Can't delete all posts. Some posts are older than %{count} day old.
admin_js.admin.user.cant_delete_all_posts.other,***TO BE TRANSLATED***Can't delete all posts. Some posts are older than %{count} days old.
admin_js.admin.user.deactivate_account,アカウントのアクティベート解除
admin_js.admin.user.deactivate_explanation,アクティベート解除されたユーザは、メールで再アクティベートする必要があります。
admin_js.admin.user.deactivate_failed,ユーザのアクティベート解除に失敗しました。
admin_js.admin.user.delete,ユーザを削除
admin_js.admin.user.delete_all_posts,全てのポストを削除
admin_js.admin.user.delete_all_posts_confirm,%{posts}個のポストと%{topics}個のトピックが削除されます。よろしいですか?
admin_js.admin.user.delete_and_block,<b>はい</b>。さらにこのメールアドレスからのサインアップを以後<b>ブロック</b>
admin_js.admin.user.delete_confirm,本当にこのユーザを削除しますか? この操作はやり直しできません!
admin_js.admin.user.delete_dont_block,<b>はい</b>。ただしこのメールアドレスからのサインアップは<b>許可</b>
admin_js.admin.user.delete_failed,ユーザ削除中にエラーが発生しました。このユーザの全てのポストを削除したことを確認してください。
admin_js.admin.user.delete_forbidden.one,登録後%{count}日以上が経過したユーザ、およびポスト投稿済のユーザは削除できません (ユーザ削除の前に全てのポストを削除してください)。
admin_js.admin.user.delete_forbidden.other,登録後%{count}日以上が経過したユーザ、およびポスト投稿済のユーザは削除できません (ユーザ削除の前に全てのポストを削除してください)。
admin_js.admin.user.delete_forbidden_because_staff,***TO BE TRANSLATED***Admins and moderators can't be deleted.
admin_js.admin.user.deleted,ユーザが削除されました。
admin_js.admin.user.edit_title,タイトルを編集
admin_js.admin.user.flags_given_count,設定したフラグ数
admin_js.admin.user.flags_received_count,設定されたフラグ数
admin_js.admin.user.grant_admin,管理者権限を付与
admin_js.admin.user.grant_moderation,モデレータ権限を付与
admin_js.admin.user.impersonate,このユーザになりすます
admin_js.admin.user.like_count,「いいね！」された数
admin_js.admin.user.moderator,モデレータ?
admin_js.admin.user.permissions,パーミッション
admin_js.admin.user.post_count,投稿したポスト数
admin_js.admin.user.posts_read_count,読んだポスト数
admin_js.admin.user.private_topics_count,プライベートトピック数
admin_js.admin.user.refresh_browsers,ブラウザを強制リフレッシュ
admin_js.admin.user.reputation,レピュテーション
admin_js.admin.user.revoke_admin,管理者権限を剥奪
admin_js.admin.user.revoke_moderation,モデレータ権限を剥奪
admin_js.admin.user.save_title,タイトルを保存
admin_js.admin.user.send_activation_email,アクティベーションメールを送信
admin_js.admin.user.send_activation_email_failed,アクティベーションメールの送信に失敗しました。 %{error}
admin_js.admin.user.show_admin_profile,管理者
admin_js.admin.user.show_public_profile,一般プロファイルを表示
admin_js.admin.user.suspend,サスペンド
admin_js.admin.user.suspend_duration,ユーザを何日間サスペンドしますか?
admin_js.admin.user.suspend_duration_units,(日)
admin_js.admin.user.suspend_failed,ユーザのサスペンドに失敗しました {{error}}
admin_js.admin.user.suspend_modal_title,サスペンド中ユーザ
admin_js.admin.user.suspend_reason,理由
admin_js.admin.user.suspend_reason_label,サスペンドする理由を簡潔に説明してください。ここに書いた理由は、このユーザのプロファイルページにおいて<b>全員が閲覧可能な状態</b>で公開されます。またこのユーザがログインを試みた際にも表示されます。
admin_js.admin.user.suspended,サスペンド中?
admin_js.admin.user.suspended_by,サスペンドしたユーザ
admin_js.admin.user.suspended_explanation,サスペンド中のユーザはログインできません。
admin_js.admin.user.time_read,リード時間
admin_js.admin.user.tl3_requirements.days,***TO BE TRANSLATED***days
admin_js.admin.user.tl3_requirements.flagged_posts,***TO BE TRANSLATED***Flagged Posts
admin_js.admin.user.tl3_requirements.quality_content,***TO BE TRANSLATED***Quality Content
admin_js.admin.user.tl3_requirements.reading,***TO BE TRANSLATED***Reading
admin_js.admin.user.tl3_requirements.requirement_heading,***TO BE TRANSLATED***Requirement
admin_js.admin.user.tl3_requirements.site_promotion,***TO BE TRANSLATED***Site Promotion
admin_js.admin.user.tl3_requirements.table_title,***TO BE TRANSLATED***In the last 100 days:
admin_js.admin.user.tl3_requirements.title,***TO BE TRANSLATED***Requirements for Trust Level 3
admin_js.admin.user.tl3_requirements.topics_replied_to,***TO BE TRANSLATED***Topics Replied To
admin_js.admin.user.tl3_requirements.topics_with_replies,***TO BE TRANSLATED***Topics with Replies
admin_js.admin.user.tl3_requirements.value_heading,***TO BE TRANSLATED***Value
admin_js.admin.user.tl3_requirements.visits,***TO BE TRANSLATED***Visits
admin_js.admin.user.topics_entered,投稿したトピック数
admin_js.admin.user.trust_level_2_users,***TO BE TRANSLATED***Trust Level 2 Users
admin_js.admin.user.trust_level_3_requirements,***TO BE TRANSLATED***Trust Level 3 Requirements
admin_js.admin.user.trust_level_change_failed,ユーザのトラストレベル変更に失敗しました。
admin_js.admin.user.unblock,ブロック解除
admin_js.admin.user.unblock_failed,ユーザのブロック解除に失敗しました。
admin_js.admin.user.unsuspend,サスペンド解除
admin_js.admin.user.unsuspend_failed,ユーザのサスペンド解除に失敗しました {{error}}
admin_js.admin.users.active,アクティブ
admin_js.admin.users.approved,承認?
admin_js.admin.users.approved_selected.one,承認ユーザ
admin_js.admin.users.approved_selected.other,承認ユーザ ({{count}})
admin_js.admin.users.create,管理者を追加
admin_js.admin.users.last_emailed,最終メール
admin_js.admin.users.nav.active,アクティブ
admin_js.admin.users.nav.admins,管理者
admin_js.admin.users.nav.blocked,ブロック中
admin_js.admin.users.nav.moderators,モデレータ
admin_js.admin.users.nav.new,新規
admin_js.admin.users.nav.pending,保留中
admin_js.admin.users.nav.suspended,サスペンド中
admin_js.admin.users.not_found,このユーザネームはシステムに存在しません。
admin_js.admin.users.reject_failures.one,1人のユーザの拒否に失敗しました。
admin_js.admin.users.reject_failures.other,%{count}人のユーザの拒否に失敗しました。
admin_js.admin.users.reject_selected.one,拒否ユーザ
admin_js.admin.users.reject_selected.other,拒否ユーザ ({{count}})
admin_js.admin.users.reject_successful.one,1人のユーザの拒否に成功しました。
admin_js.admin.users.reject_successful.other,%{count}人のユーザの拒否に成功しました。
admin_js.admin.users.title,ユーザ
admin_js.admin.users.titles.active,アクティブユーザ
admin_js.admin.users.titles.admins,管理者ユーザ
admin_js.admin.users.titles.basic,トラストレベル1のユーザ (ベーシックユーザ)
admin_js.admin.users.titles.blocked,ブロック中のユーザ
admin_js.admin.users.titles.elder,トラストレベル4のユーザ (マスター)
admin_js.admin.users.titles.leader,トラストレベル3のユーザ (リーダ)
admin_js.admin.users.titles.moderators,モデレータ
admin_js.admin.users.titles.new,新規ユーザ
admin_js.admin.users.titles.newuser,トラストレベル0のユーザ (新規ユーザ)
admin_js.admin.users.titles.pending,保留中のユーザ
admin_js.admin.users.titles.regular,トラストレベル2のユーザ (レギュラーユーザ)
admin_js.admin.users.titles.suspended,サスペンド中のユーザ
admin_js.badges.example_badge.description,***TO BE TRANSLATED***This is a generic example badge.
admin_js.badges.example_badge.name,***TO BE TRANSLATED***Example Badge
admin_js.keyboard_shortcuts_help.actions.bookmark,***TO BE TRANSLATED***<b>b</b> Bookmark post
admin_js.keyboard_shortcuts_help.actions.delete,***TO BE TRANSLATED***<b>d</b> Delete post
admin_js.keyboard_shortcuts_help.actions.edit,***TO BE TRANSLATED***<b>e</b> Edit post
admin_js.keyboard_shortcuts_help.actions.flag,***TO BE TRANSLATED***<b>!</b> Flag post
admin_js.keyboard_shortcuts_help.actions.like,***TO BE TRANSLATED***<b>l</b> Like post
admin_js.keyboard_shortcuts_help.actions.mark_muted,***TO BE TRANSLATED***<b>m</b> then <b>m</b> Mark topic as muted
admin_js.keyboard_shortcuts_help.actions.mark_regular,***TO BE TRANSLATED***<b>m</b> then <b>r</b> Mark topic as regular
admin_js.keyboard_shortcuts_help.actions.mark_tracking,***TO BE TRANSLATED***<b>m</b> then <b>t</b> Mark topic as tracking
admin_js.keyboard_shortcuts_help.actions.mark_watching,***TO BE TRANSLATED***<b>m</b> then <b>w</b> Mark topic as watching
admin_js.keyboard_shortcuts_help.actions.reply_post,***TO BE TRANSLATED***<b>shift r</b> Reply to post
admin_js.keyboard_shortcuts_help.actions.reply_topic,***TO BE TRANSLATED***<b>r</b> Reply to topic
admin_js.keyboard_shortcuts_help.actions.share_post,***TO BE TRANSLATED***<b>shift s</b> Share post
admin_js.keyboard_shortcuts_help.actions.share_topic,***TO BE TRANSLATED***<b>s</b> Share topic
admin_js.keyboard_shortcuts_help.actions.star,***TO BE TRANSLATED***<b>f</b> Star topic
admin_js.keyboard_shortcuts_help.actions.title,***TO BE TRANSLATED***Actions
admin_js.keyboard_shortcuts_help.application.create,***TO BE TRANSLATED***<b>c</b> Create a new topic
admin_js.keyboard_shortcuts_help.application.help,***TO BE TRANSLATED***<b>?</b> Open keyboard shortcuts help
admin_js.keyboard_shortcuts_help.application.notifications,***TO BE TRANSLATED***<b>n</b> Open notifications
admin_js.keyboard_shortcuts_help.application.search,***TO BE TRANSLATED***<b>/</b> Search
admin_js.keyboard_shortcuts_help.application.title,***TO BE TRANSLATED***Application
admin_js.keyboard_shortcuts_help.jump_to.categories,***TO BE TRANSLATED***<b>g</b> then <b>c</b> Categories
admin_js.keyboard_shortcuts_help.jump_to.home,***TO BE TRANSLATED***<b>g</b> then <b>h</b> Home (Latest)
admin_js.keyboard_shortcuts_help.jump_to.latest,***TO BE TRANSLATED***<b>g</b> then <b>l</b> Latest
admin_js.keyboard_shortcuts_help.jump_to.new,***TO BE TRANSLATED***<b>g</b> then <b>n</b> New
admin_js.keyboard_shortcuts_help.jump_to.starred,***TO BE TRANSLATED***<b>g</b> then <b>f</b> Starred
admin_js.keyboard_shortcuts_help.jump_to.title,***TO BE TRANSLATED***Jump To
admin_js.keyboard_shortcuts_help.jump_to.unread,***TO BE TRANSLATED***<b>g</b> then <b>u</b> Unread
admin_js.keyboard_shortcuts_help.navigation.back,***TO BE TRANSLATED***<b>u</b> Back
admin_js.keyboard_shortcuts_help.navigation.next_prev,***TO BE TRANSLATED***<b>`</b>/<b>~</b> Next/previous section
